Reporting level,Province/territory,Indicator,Metric,Data year,Unit of measurement,Indicator result
Provincial,Saskatchewan,Colorectal Cancer Surgery,Volume,2015,Number of cases,227
Provincial,Saskatchewan,CT Scan,50thPercentile,2015,Days,21
Provincial,Saskatchewan,CT Scan,90thPercentile,2015,Days,53
Provincial,Saskatchewan,CT Scan,Volume,2015,Number of cases,"19,705"
Provincial,Saskatchewan,Hip Fracture Repair,% Meeting Benchmark,2015,Proportion,80
Provincial,Saskatchewan,Hip Fracture Repair,50thPercentile,2015,Hours,25
Provincial,Saskatchewan,Hip Fracture Repair,90thPercentile,2015,Hours,65
Provincial,Saskatchewan,Hip Fracture Repair,Volume,2015,Number of cases,532
Provincial,Saskatchewan,Hip Fracture Repair/Emergency and Inpatient,% Meeting Benchmark,2015,Proportion,n/a
Provincial,Saskatchewan,Hip Fracture Repair/Emergency and Inpatient,50thPercentile,2015,Hours,n/a
Provincial,Saskatchewan,Hip Fracture Repair/Emergency and Inpatient,90thPercentile,2015,Hours,n/a
Provincial,Saskatchewan,Hip Fracture Repair/Emergency and Inpatient,Volume,2015,Number of cases,n/a
Provincial,Saskatchewan,Hip Replacement,% Meeting Benchmark,2015,Proportion,100
Provincial,Saskatchewan,Hip Replacement,50thPercentile,2015,Days,53
Provincial,Saskatchewan,Hip Replacement,90thPercentile,2015,Days,128
Provincial,Saskatchewan,Hip Replacement,Volume,2015,Number of cases,794
Regional,Saskatchewan,Hip Replacement,% Meeting Benchmark,2015,Proportion,n/a
Regional,Saskatchewan,Hip Replacement,50thPercentile,2015,Days,n/a
Regional,Saskatchewan,Hip Replacement,90thPercentile,2015,Days,n/a
Regional,Saskatchewan,Hip Replacement,Volume,2015,Number of cases,n/a
Regional,Saskatchewan,Hip Replacement,% Meeting Benchmark,2015,Proportion,n/a
Regional,Saskatchewan,Hip Replacement,50thPercentile,2015,Days,n/a
Regional,Saskatchewan,Hip Replacement,90thPercentile,2015,Days,n/a
Regional,Saskatchewan,Hip Replacement,Volume,2015,Number of cases,n/a
Regional,Saskatchewan,Hip Replacement,% Meeting Benchmark,2015,Proportion,n/a
Regional,Saskatchewan,Hip Replacement,50thPercentile,2015,Days,n/a
Regional,Saskatchewan,Hip Replacement,90thPercentile,2015,Days,n/a
Regional,Saskatchewan,Hip Replacement,Volume,2015,Number of cases,n/a
Regional,Saskatchewan,Hip Replacement,% Meeting Benchmark,2015,Proportion,100
Regional,Saskatchewan,Hip Replacement,50thPercentile,2015,Days,48
Regional,Saskatchewan,Hip Replacement,90thPercentile,2015,Days,101
Regional,Saskatchewan,Hip Replacement,Volume,2015,Number of cases,263
Regional,Saskatchewan,Hip Replacement,% Meeting Benchmark,2015,Proportion,100
Regional,Saskatchewan,Hip Replacement,50thPercentile,2015,Days,57
Regional,Saskatchewan,Hip Replacement,90thPercentile,2015,Days,141
Regional,Saskatchewan,Hip Replacement,Volume,2015,Number of cases,463
Regional,Saskatchewan,Hip Replacement,% Meeting Benchmark,2015,Proportion,100
Regional,Saskatchewan,Hip Replacement,50thPercentile,2015,Days,63
Regional,Saskatchewan,Hip Replacement,90thPercentile,2015,Days,98
Regional,Saskatchewan,Hip Replacement,Volume,2015,Number of cases,41
Regional,Saskatchewan,Hip Replacement,% Meeting Benchmark,2015,Proportion,100
Regional,Saskatchewan,Hip Replacement,50thPercentile,2015,Days,59
Regional,Saskatchewan,Hip Replacement,90thPercentile,2015,Days,83
Regional,Saskatchewan,Hip Replacement,Volume,2015,Number of cases,23
Provincial,Saskatchewan,Knee Replacement,% Meeting Benchmark,2015,Proportion,99
Provincial,Saskatchewan,Knee Replacement,50thPercentile,2015,Days,62
Provincial,Saskatchewan,Knee Replacement,90thPercentile,2015,Days,130
Provincial,Saskatchewan,Knee Replacement,Volume,2015,Number of cases,"1,202"
Regional,Saskatchewan,Knee Replacement,% Meeting Benchmark,2015,Proportion,n/a
Regional,Saskatchewan,Knee Replacement,50thPercentile,2015,Days,n/a
Regional,Saskatchewan,Knee Replacement,90thPercentile,2015,Days,n/a
Regional,Saskatchewan,Knee Replacement,Volume,2015,Number of cases,n/a
Regional,Saskatchewan,Knee Replacement,% Meeting Benchmark,2015,Proportion,100
Regional,Saskatchewan,Knee Replacement,50thPercentile,2015,Days,13
Regional,Saskatchewan,Knee Replacement,90thPercentile,2015,Days,36
Regional,Saskatchewan,Knee Replacement,Volume,2015,Number of cases,11
Regional,Saskatchewan,Knee Replacement,% Meeting Benchmark,2015,Proportion,n/a
Regional,Saskatchewan,Knee Replacement,50thPercentile,2015,Days,n/a
Regional,Saskatchewan,Knee Replacement,90thPercentile,2015,Days,n/a
Regional,Saskatchewan,Knee Replacement,Volume,2015,Number of cases,n/a
Regional,Saskatchewan,Knee Replacement,% Meeting Benchmark,2015,Proportion,100
Regional,Saskatchewan,Knee Replacement,50thPercentile,2015,Days,55
Regional,Saskatchewan,Knee Replacement,90thPercentile,2015,Days,117
Regional,Saskatchewan,Knee Replacement,Volume,2015,Number of cases,441
Regional,Saskatchewan,Knee Replacement,% Meeting Benchmark,2015,Proportion,99
Regional,Saskatchewan,Knee Replacement,50thPercentile,2015,Days,72
Regional,Saskatchewan,Knee Replacement,90thPercentile,2015,Days,142
Regional,Saskatchewan,Knee Replacement,Volume,2015,Number of cases,603
Regional,Saskatchewan,Knee Replacement,% Meeting Benchmark,2015,Proportion,99
Regional,Saskatchewan,Knee Replacement,50thPercentile,2015,Days,58
Regional,Saskatchewan,Knee Replacement,90thPercentile,2015,Days,96
Regional,Saskatchewan,Knee Replacement,Volume,2015,Number of cases,104
Regional,Saskatchewan,Knee Replacement,% Meeting Benchmark,2015,Proportion,100
Regional,Saskatchewan,Knee Replacement,50thPercentile,2015,Days,59
Regional,Saskatchewan,Knee Replacement,90thPercentile,2015,Days,79
Regional,Saskatchewan,Knee Replacement,Volume,2015,Number of cases,43
Provincial,Saskatchewan,Lung Cancer Surgery,50thPercentile,2015,Days,15
Provincial,Saskatchewan,Lung Cancer Surgery,90thPercentile,2015,Days,27
Provincial,Saskatchewan,Lung Cancer Surgery,Volume,2015,Number of cases,54
Provincial,Saskatchewan,MRI Scan,50thPercentile,2015,Days,32
Provincial,Saskatchewan,MRI Scan,90thPercentile,2015,Days,152
Provincial,Saskatchewan,MRI Scan,Volume,2015,Number of cases,"11,584"
Provincial,Saskatchewan,Prostate Cancer Surgery,50thPercentile,2015,Days,48
Provincial,Saskatchewan,Prostate Cancer Surgery,90thPercentile,2015,Days,138
Provincial,Saskatchewan,Prostate Cancer Surgery,Volume,2015,Number of cases,110
Provincial,Saskatchewan,Radiation Therapy,% Meeting Benchmark,2015,Proportion,97
Provincial,Saskatchewan,Radiation Therapy,50thPercentile,2015,Days,8
Provincial,Saskatchewan,Radiation Therapy,90thPercentile,2015,Days,20
Provincial,Saskatchewan,Radiation Therapy,Volume,2015,Number of cases,"1,001"
Provincial,Alberta,Bladder Cancer Surgery,50thPercentile,2016,Days,30
Provincial,Alberta,Bladder Cancer Surgery,90thPercentile,2016,Days,70
Provincial,Alberta,Bladder Cancer Surgery,Volume,2016,Number of cases,448
Provincial,Alberta,Breast Cancer Surgery,50thPercentile,2016,Days,20
Provincial,Alberta,Breast Cancer Surgery,90thPercentile,2016,Days,49
Provincial,Alberta,Breast Cancer Surgery,Volume,2016,Number of cases,"1,074"
Provincial,Alberta,CABG,50thPercentile,2016,Days,6
Provincial,Alberta,CABG,90thPercentile,2016,Days,42
Provincial,Alberta,CABG,Volume,2016,Number of cases,524
Provincial,Alberta,Cataract surgery,% Meeting Benchmark,2016,Proportion,58
Provincial,Alberta,Cataract surgery,50thPercentile,2016,Days,92
Provincial,Alberta,Cataract surgery,90thPercentile,2016,Days,243
Provincial,Alberta,Cataract surgery,Volume,2016,Number of cases,"11,770"
Provincial,Alberta,Colorectal Cancer Surgery,50thPercentile,2016,Days,27
Provincial,Alberta,Colorectal Cancer Surgery,90thPercentile,2016,Days,68
Provincial,Alberta,Colorectal Cancer Surgery,Volume,2016,Number of cases,419
Provincial,Alberta,CT Scan,50thPercentile,2016,Days,27
Provincial,Alberta,CT Scan,90thPercentile,2016,Days,92
Provincial,Alberta,CT Scan,Volume,2016,Number of cases,"80,876"
Provincial,Alberta,Hip Fracture Repair,% Meeting Benchmark,2016,Proportion,91
Provincial,Alberta,Hip Fracture Repair,50thPercentile,2016,Hours,20
Provincial,Alberta,Hip Fracture Repair,90thPercentile,2016,Hours,47
Provincial,Alberta,Hip Fracture Repair,Volume,2016,Number of cases,"1,422"
Provincial,Alberta,Hip Fracture Repair/Emergency and Inpatient,% Meeting Benchmark,2016,Proportion,86
Provincial,Alberta,Hip Fracture Repair/Emergency and Inpatient,50thPercentile,2016,Hours,25
Provincial,Alberta,Hip Fracture Repair/Emergency and Inpatient,90thPercentile,2016,Hours,51
Provincial,Alberta,Hip Fracture Repair/Emergency and Inpatient,Volume,2016,Number of cases,"1,261"
Provincial,Alberta,Hip Replacement,% Meeting Benchmark,2016,Proportion,82
Provincial,Alberta,Hip Replacement,50thPercentile,2016,Days,91
Provincial,Alberta,Hip Replacement,90thPercentile,2016,Days,218
Provincial,Alberta,Hip Replacement,Volume,2016,Number of cases,"2,043"
Regional,Alberta,Hip Replacement,% Meeting Benchmark,2016,Proportion,65
Regional,Alberta,Hip Replacement,50thPercentile,2016,Days,138
Regional,Alberta,Hip Replacement,90thPercentile,2016,Days,330
Regional,Alberta,Hip Replacement,Volume,2016,Number of cases,210
Regional,Alberta,Hip Replacement,% Meeting Benchmark,2016,Proportion,83
Regional,Alberta,Hip Replacement,50thPercentile,2016,Days,91
Regional,Alberta,Hip Replacement,90thPercentile,2016,Days,208
Regional,Alberta,Hip Replacement,Volume,2016,Number of cases,788
Regional,Alberta,Hip Replacement,% Meeting Benchmark,2016,Proportion,78
Regional,Alberta,Hip Replacement,50thPercentile,2016,Days,92
Regional,Alberta,Hip Replacement,90thPercentile,2016,Days,218
Regional,Alberta,Hip Replacement,Volume,2016,Number of cases,211
Regional,Alberta,Hip Replacement,% Meeting Benchmark,2016,Proportion,87
Regional,Alberta,Hip Replacement,50thPercentile,2016,Days,84
Regional,Alberta,Hip Replacement,90thPercentile,2016,Days,194
Regional,Alberta,Hip Replacement,Volume,2016,Number of cases,729
Regional,Alberta,Hip Replacement,% Meeting Benchmark,2016,Proportion,87
Regional,Alberta,Hip Replacement,50thPercentile,2016,Days,76
Regional,Alberta,Hip Replacement,90thPercentile,2016,Days,239
Regional,Alberta,Hip Replacement,Volume,2016,Number of cases,105
Provincial,Alberta,Knee Replacement,% Meeting Benchmark,2016,Proportion,77
Provincial,Alberta,Knee Replacement,50thPercentile,2016,Days,113
Provincial,Alberta,Knee Replacement,90thPercentile,2016,Days,253
Provincial,Alberta,Knee Replacement,Volume,2016,Number of cases,"3,174"
Regional,Alberta,Knee Replacement,% Meeting Benchmark,2016,Proportion,54
Regional,Alberta,Knee Replacement,50thPercentile,2016,Days,168
Regional,Alberta,Knee Replacement,90thPercentile,2016,Days,399
Regional,Alberta,Knee Replacement,Volume,2016,Number of cases,390
Regional,Alberta,Knee Replacement,% Meeting Benchmark,2016,Proportion,80
Regional,Alberta,Knee Replacement,50thPercentile,2016,Days,110
Regional,Alberta,Knee Replacement,90thPercentile,2016,Days,232
Regional,Alberta,Knee Replacement,Volume,2016,Number of cases,"1,196"
Regional,Alberta,Knee Replacement,% Meeting Benchmark,2016,Proportion,66
Regional,Alberta,Knee Replacement,50thPercentile,2016,Days,141
Regional,Alberta,Knee Replacement,90thPercentile,2016,Days,258
Regional,Alberta,Knee Replacement,Volume,2016,Number of cases,325
Regional,Alberta,Knee Replacement,% Meeting Benchmark,2016,Proportion,84
Regional,Alberta,Knee Replacement,50thPercentile,2016,Days,97
Regional,Alberta,Knee Replacement,90thPercentile,2016,Days,209
Regional,Alberta,Knee Replacement,Volume,2016,Number of cases,"1,057"
Regional,Alberta,Knee Replacement,% Meeting Benchmark,2016,Proportion,79
Regional,Alberta,Knee Replacement,50thPercentile,2016,Days,105
Regional,Alberta,Knee Replacement,90thPercentile,2016,Days,280
Regional,Alberta,Knee Replacement,Volume,2016,Number of cases,206
Provincial,Alberta,Lung Cancer Surgery,50thPercentile,2016,Days,33
Provincial,Alberta,Lung Cancer Surgery,90thPercentile,2016,Days,63
Provincial,Alberta,Lung Cancer Surgery,Volume,2016,Number of cases,290
Provincial,Alberta,MRI Scan,50thPercentile,2016,Days,85
Provincial,Alberta,MRI Scan,90thPercentile,2016,Days,242
Provincial,Alberta,MRI Scan,Volume,2016,Number of cases,"59,916"
Provincial,Alberta,Prostate Cancer Surgery,50thPercentile,2016,Days,48
Provincial,Alberta,Prostate Cancer Surgery,90thPercentile,2016,Days,116
Provincial,Alberta,Prostate Cancer Surgery,Volume,2016,Number of cases,571
Provincial,Alberta,Radiation Therapy,% Meeting Benchmark,2016,Proportion,99
Provincial,Alberta,Radiation Therapy,50thPercentile,2016,Days,7
Provincial,Alberta,Radiation Therapy,90thPercentile,2016,Days,20
Provincial,Alberta,Radiation Therapy,Volume,2016,Number of cases,"4,071"
Provincial,British Columbia,Bladder Cancer Surgery,50thPercentile,2016,Days,22
Provincial,British Columbia,Bladder Cancer Surgery,90thPercentile,2016,Days,51
Provincial,British Columbia,Bladder Cancer Surgery,Volume,2016,Number of cases,"1,673"
Provincial,British Columbia,Breast Cancer Surgery,50thPercentile,2016,Days,17
Provincial,British Columbia,Breast Cancer Surgery,90thPercentile,2016,Days,45
Provincial,British Columbia,Breast Cancer Surgery,Volume,2016,Number of cases,"1,859"
Provincial,British Columbia,CABG,50thPercentile,2016,Days,8
Provincial,British Columbia,CABG,90thPercentile,2016,Days,77
Provincial,British Columbia,CABG,Volume,2016,Number of cases,"1,054"
Provincial,British Columbia,Cataract surgery,% Meeting Benchmark,2016,Proportion,66
Provincial,British Columbia,Cataract surgery,50thPercentile,2016,Days,74
Provincial,British Columbia,Cataract surgery,90thPercentile,2016,Days,243
Provincial,British Columbia,Cataract surgery,Volume,2016,Number of cases,"28,155"
Provincial,British Columbia,Colorectal Cancer Surgery,50thPercentile,2016,Days,21
Provincial,British Columbia,Colorectal Cancer Surgery,90thPercentile,2016,Days,53
Provincial,British Columbia,Colorectal Cancer Surgery,Volume,2016,Number of cases,"1,014"
Provincial,British Columbia,CT Scan,50thPercentile,2016,Days,n/a
Provincial,British Columbia,CT Scan,90thPercentile,2016,Days,n/a
Provincial,British Columbia,CT Scan,Volume,2016,Number of cases,n/a
Provincial,British Columbia,Hip Fracture Repair,% Meeting Benchmark,2016,Proportion,86
Provincial,British Columbia,Hip Fracture Repair,50thPercentile,2016,Hours,26
Provincial,British Columbia,Hip Fracture Repair,90thPercentile,2016,Hours,56
Provincial,British Columbia,Hip Fracture Repair,Volume,2016,Number of cases,"1,905"
Provincial,British Columbia,Hip Fracture Repair/Emergency and Inpatient,% Meeting Benchmark,2016,Proportion,n/a
Provincial,British Columbia,Hip Fracture Repair/Emergency and Inpatient,50thPercentile,2016,Hours,n/a
Provincial,British Columbia,Hip Fracture Repair/Emergency and Inpatient,90thPercentile,2016,Hours,n/a
Provincial,British Columbia,Hip Fracture Repair/Emergency and Inpatient,Volume,2016,Number of cases,n/a
Provincial,British Columbia,Hip Replacement,% Meeting Benchmark,2016,Proportion,61
Provincial,British Columbia,Hip Replacement,50thPercentile,2016,Days,141
Provincial,British Columbia,Hip Replacement,90thPercentile,2016,Days,341
Provincial,British Columbia,Hip Replacement,Volume,2016,Number of cases,"2,929"
Regional,British Columbia,Hip Replacement,% Meeting Benchmark,2016,Proportion,50
Regional,British Columbia,Hip Replacement,50thPercentile,2016,Days,181
Regional,British Columbia,Hip Replacement,90thPercentile,2016,Days,368
Regional,British Columbia,Hip Replacement,Volume,2016,Number of cases,684
Regional,British Columbia,Hip Replacement,% Meeting Benchmark,2016,Proportion,68
Regional,British Columbia,Hip Replacement,50thPercentile,2016,Days,102
Regional,British Columbia,Hip Replacement,90thPercentile,2016,Days,303
Regional,British Columbia,Hip Replacement,Volume,2016,Number of cases,568
Regional,British Columbia,Hip Replacement,% Meeting Benchmark,2016,Proportion,77
Regional,British Columbia,Hip Replacement,50thPercentile,2016,Days,99
Regional,British Columbia,Hip Replacement,90thPercentile,2016,Days,255
Regional,British Columbia,Hip Replacement,Volume,2016,Number of cases,858
Regional,British Columbia,Hip Replacement,% Meeting Benchmark,2016,Proportion,45
Regional,British Columbia,Hip Replacement,50thPercentile,2016,Days,197
Regional,British Columbia,Hip Replacement,90thPercentile,2016,Days,406
Regional,British Columbia,Hip Replacement,Volume,2016,Number of cases,661
Regional,British Columbia,Hip Replacement,% Meeting Benchmark,2016,Proportion,54
Regional,British Columbia,Hip Replacement,50thPercentile,2016,Days,164
Regional,British Columbia,Hip Replacement,90thPercentile,2016,Days,366
Regional,British Columbia,Hip Replacement,Volume,2016,Number of cases,158
Provincial,British Columbia,Knee Replacement,% Meeting Benchmark,2016,Proportion,47
Provincial,British Columbia,Knee Replacement,50thPercentile,2016,Days,192
Provincial,British Columbia,Knee Replacement,90thPercentile,2016,Days,381
Provincial,British Columbia,Knee Replacement,Volume,2016,Number of cases,"4,232"
Regional,British Columbia,Knee Replacement,% Meeting Benchmark,2016,Proportion,35
Regional,British Columbia,Knee Replacement,50thPercentile,2016,Days,222
Regional,British Columbia,Knee Replacement,90thPercentile,2016,Days,393
Regional,British Columbia,Knee Replacement,Volume,2016,Number of cases,964
Regional,British Columbia,Knee Replacement,% Meeting Benchmark,2016,Proportion,52
Regional,British Columbia,Knee Replacement,50thPercentile,2016,Days,174
Regional,British Columbia,Knee Replacement,90thPercentile,2016,Days,363
Regional,British Columbia,Knee Replacement,Volume,2016,Number of cases,"1,130"
Regional,British Columbia,Knee Replacement,% Meeting Benchmark,2016,Proportion,72
Regional,British Columbia,Knee Replacement,50thPercentile,2016,Days,112
Regional,British Columbia,Knee Replacement,90thPercentile,2016,Days,281
Regional,British Columbia,Knee Replacement,Volume,2016,Number of cases,933
Regional,British Columbia,Knee Replacement,% Meeting Benchmark,2016,Proportion,29
Regional,British Columbia,Knee Replacement,50thPercentile,2016,Days,255
Regional,British Columbia,Knee Replacement,90thPercentile,2016,Days,460
Regional,British Columbia,Knee Replacement,Volume,2016,Number of cases,939
Regional,British Columbia,Knee Replacement,% Meeting Benchmark,2016,Proportion,48
Regional,British Columbia,Knee Replacement,50thPercentile,2016,Days,196
Regional,British Columbia,Knee Replacement,90thPercentile,2016,Days,358
Regional,British Columbia,Knee Replacement,Volume,2016,Number of cases,266
Provincial,British Columbia,Lung Cancer Surgery,50thPercentile,2016,Days,19
Provincial,British Columbia,Lung Cancer Surgery,90thPercentile,2016,Days,50
Provincial,British Columbia,Lung Cancer Surgery,Volume,2016,Number of cases,375
Provincial,British Columbia,MRI Scan,50thPercentile,2016,Days,n/a
Provincial,British Columbia,MRI Scan,90thPercentile,2016,Days,n/a
Provincial,British Columbia,MRI Scan,Volume,2016,Number of cases,n/a
Provincial,British Columbia,Prostate Cancer Surgery,50thPercentile,2016,Days,36
Provincial,British Columbia,Prostate Cancer Surgery,90thPercentile,2016,Days,80
Provincial,British Columbia,Prostate Cancer Surgery,Volume,2016,Number of cases,406
Provincial,British Columbia,Radiation Therapy,% Meeting Benchmark,2016,Proportion,91
Provincial,British Columbia,Radiation Therapy,50thPercentile,2016,Days,8
Provincial,British Columbia,Radiation Therapy,90thPercentile,2016,Days,27
Provincial,British Columbia,Radiation Therapy,Volume,2016,Number of cases,"6,585"
National,Canada,Bladder Cancer Surgery,50thPercentile,2016,Days,25
National,Canada,Bladder Cancer Surgery,90thPercentile,2016,Days,60
National,Canada,Bladder Cancer Surgery,Volume,2016,Number of cases,"12,239"
National,Canada,Breast Cancer Surgery,50thPercentile,2016,Days,18
National,Canada,Breast Cancer Surgery,90thPercentile,2016,Days,39
National,Canada,Breast Cancer Surgery,Volume,2016,Number of cases,"14,682"
National,Canada,CABG,50thPercentile,2016,Days,8
National,Canada,CABG,90thPercentile,2016,Days,62
National,Canada,CABG,Volume,2016,Number of cases,"9,055"
National,Canada,Cataract surgery,% Meeting Benchmark,2016,Proportion,73
National,Canada,Cataract surgery,50thPercentile,2016,Days,68
National,Canada,Cataract surgery,90thPercentile,2016,Days,194
National,Canada,Cataract surgery,Volume,2016,Number of cases,"170,016"
National,Canada,Colorectal Cancer Surgery,50thPercentile,2016,Days,20
National,Canada,Colorectal Cancer Surgery,90thPercentile,2016,Days,44
National,Canada,Colorectal Cancer Surgery,Volume,2016,Number of cases,"7,169"
National,Canada,CT Scan,50thPercentile,2016,Days,n/a
National,Canada,CT Scan,90thPercentile,2016,Days,n/a
National,Canada,CT Scan,Volume,2016,Number of cases,n/a
National,Canada,Hip Fracture Repair,% Meeting Benchmark,2016,Proportion,86
National,Canada,Hip Fracture Repair,50thPercentile,2016,Hours,23
National,Canada,Hip Fracture Repair,90thPercentile,2016,Hours,55
National,Canada,Hip Fracture Repair,Volume,2016,Number of cases,"10,903"
National,Canada,Hip Fracture Repair/Emergency and Inpatient,% Meeting Benchmark,2016,Proportion,n/a
National,Canada,Hip Fracture Repair/Emergency and Inpatient,50thPercentile,2016,Hours,n/a
National,Canada,Hip Fracture Repair/Emergency and Inpatient,90thPercentile,2016,Hours,n/a
National,Canada,Hip Fracture Repair/Emergency and Inpatient,Volume,2016,Number of cases,n/a
National,Canada,Hip Replacement,% Meeting Benchmark,2016,Proportion,78
National,Canada,Hip Replacement,50thPercentile,2016,Days,98
National,Canada,Hip Replacement,90thPercentile,2016,Days,255
National,Canada,Hip Replacement,Volume,2016,Number of cases,"19,154"
National,Canada,Knee Replacement,% Meeting Benchmark,2016,Proportion,72
National,Canada,Knee Replacement,50thPercentile,2016,Days,118
National,Canada,Knee Replacement,90thPercentile,2016,Days,291
National,Canada,Knee Replacement,Volume,2016,Number of cases,"31,407"
National,Canada,Lung Cancer Surgery,50thPercentile,2016,Days,21
National,Canada,Lung Cancer Surgery,90thPercentile,2016,Days,48
National,Canada,Lung Cancer Surgery,Volume,2016,Number of cases,"4,016"
National,Canada,MRI Scan,50thPercentile,2016,Days,n/a
National,Canada,MRI Scan,90thPercentile,2016,Days,n/a
National,Canada,MRI Scan,Volume,2016,Number of cases,n/a
National,Canada,Prostate Cancer Surgery,50thPercentile,2016,Days,39
National,Canada,Prostate Cancer Surgery,90thPercentile,2016,Days,88
National,Canada,Prostate Cancer Surgery,Volume,2016,Number of cases,"3,635"
National,Canada,Radiation Therapy,% Meeting Benchmark,2016,Proportion,97
National,Canada,Radiation Therapy,50thPercentile,2016,Days,8
National,Canada,Radiation Therapy,90thPercentile,2016,Days,19
National,Canada,Radiation Therapy,Volume,2016,Number of cases,"44,537"
Provincial,Manitoba,Bladder Cancer Surgery,50thPercentile,2016,Days,n/a
Provincial,Manitoba,Bladder Cancer Surgery,90thPercentile,2016,Days,n/a
Provincial,Manitoba,Bladder Cancer Surgery,Volume,2016,Number of cases,n/a
Provincial,Manitoba,Breast Cancer Surgery,50thPercentile,2016,Days,23
Provincial,Manitoba,Breast Cancer Surgery,90thPercentile,2016,Days,40
Provincial,Manitoba,Breast Cancer Surgery,Volume,2016,Number of cases,147
Provincial,Manitoba,CABG,50thPercentile,2016,Days,9
Provincial,Manitoba,CABG,90thPercentile,2016,Days,45
Provincial,Manitoba,CABG,Volume,2016,Number of cases,203
Provincial,Manitoba,Cataract surgery,% Meeting Benchmark,2016,Proportion,34
Provincial,Manitoba,Cataract surgery,50thPercentile,2016,Days,148
Provincial,Manitoba,Cataract surgery,90thPercentile,2016,Days,289
Provincial,Manitoba,Cataract surgery,Volume,2016,Number of cases,"2,915"
Provincial,Manitoba,Colorectal Cancer Surgery,50thPercentile,2016,Days,n/a
Provincial,Manitoba,Colorectal Cancer Surgery,90thPercentile,2016,Days,n/a
Provincial,Manitoba,Colorectal Cancer Surgery,Volume,2016,Number of cases,n/a
Provincial,Manitoba,CT Scan,50thPercentile,2016,Days,21
Provincial,Manitoba,CT Scan,90thPercentile,2016,Days,79
Provincial,Manitoba,CT Scan,Volume,2016,Number of cases,"40,439"
Provincial,Manitoba,Hip Fracture Repair,% Meeting Benchmark,2016,Proportion,91
Provincial,Manitoba,Hip Fracture Repair,50thPercentile,2016,Hours,19
Provincial,Manitoba,Hip Fracture Repair,90thPercentile,2016,Hours,45
Provincial,Manitoba,Hip Fracture Repair,Volume,2016,Number of cases,575
Provincial,Manitoba,Hip Fracture Repair/Emergency and Inpatient,% Meeting Benchmark,2016,Proportion,n/a
Provincial,Manitoba,Hip Fracture Repair/Emergency and Inpatient,50thPercentile,2016,Hours,n/a
Provincial,Manitoba,Hip Fracture Repair/Emergency and Inpatient,90thPercentile,2016,Hours,n/a
Provincial,Manitoba,Hip Fracture Repair/Emergency and Inpatient,Volume,2016,Number of cases,n/a
Provincial,Manitoba,Hip Replacement,% Meeting Benchmark,2016,Proportion,66
Provincial,Manitoba,Hip Replacement,50thPercentile,2016,Days,136
Provincial,Manitoba,Hip Replacement,90thPercentile,2016,Days,348
Provincial,Manitoba,Hip Replacement,Volume,2016,Number of cases,697
Regional,Manitoba,Hip Replacement,% Meeting Benchmark,2016,Proportion,n/a
Regional,Manitoba,Hip Replacement,50thPercentile,2016,Days,n/a
Regional,Manitoba,Hip Replacement,90thPercentile,2016,Days,n/a
Regional,Manitoba,Hip Replacement,Volume,2016,Number of cases,n/a
Regional,Manitoba,Hip Replacement,% Meeting Benchmark,2016,Proportion,60
Regional,Manitoba,Hip Replacement,50thPercentile,2016,Days,141
Regional,Manitoba,Hip Replacement,90thPercentile,2016,Days,352
Regional,Manitoba,Hip Replacement,Volume,2016,Number of cases,106
Regional,Manitoba,Hip Replacement,% Meeting Benchmark,2016,Proportion,89
Regional,Manitoba,Hip Replacement,50thPercentile,2016,Days,91
Regional,Manitoba,Hip Replacement,90thPercentile,2016,Days,203
Regional,Manitoba,Hip Replacement,Volume,2016,Number of cases,36
Regional,Manitoba,Hip Replacement,% Meeting Benchmark,2016,Proportion,n/a
Regional,Manitoba,Hip Replacement,50thPercentile,2016,Days,n/a
Regional,Manitoba,Hip Replacement,90thPercentile,2016,Days,n/a
Regional,Manitoba,Hip Replacement,Volume,2016,Number of cases,n/a
Regional,Manitoba,Hip Replacement,% Meeting Benchmark,2016,Proportion,66
Regional,Manitoba,Hip Replacement,50thPercentile,2016,Days,139
Regional,Manitoba,Hip Replacement,90thPercentile,2016,Days,352
Regional,Manitoba,Hip Replacement,Volume,2016,Number of cases,555
Provincial,Manitoba,Knee Replacement,% Meeting Benchmark,2016,Proportion,58
Provincial,Manitoba,Knee Replacement,50thPercentile,2016,Days,160
Provincial,Manitoba,Knee Replacement,90thPercentile,2016,Days,412
Provincial,Manitoba,Knee Replacement,Volume,2016,Number of cases,"1,084"
Regional,Manitoba,Knee Replacement,% Meeting Benchmark,2016,Proportion,n/a
Regional,Manitoba,Knee Replacement,50thPercentile,2016,Days,n/a
Regional,Manitoba,Knee Replacement,90thPercentile,2016,Days,n/a
Regional,Manitoba,Knee Replacement,Volume,2016,Number of cases,n/a
Regional,Manitoba,Knee Replacement,% Meeting Benchmark,2016,Proportion,54
Regional,Manitoba,Knee Replacement,50thPercentile,2016,Days,172
Regional,Manitoba,Knee Replacement,90thPercentile,2016,Days,442
Regional,Manitoba,Knee Replacement,Volume,2016,Number of cases,112
Regional,Manitoba,Knee Replacement,% Meeting Benchmark,2016,Proportion,77
Regional,Manitoba,Knee Replacement,50thPercentile,2016,Days,145
Regional,Manitoba,Knee Replacement,90thPercentile,2016,Days,298
Regional,Manitoba,Knee Replacement,Volume,2016,Number of cases,83
Regional,Manitoba,Knee Replacement,% Meeting Benchmark,2016,Proportion,n/a
