reporting_level,province/territory,region,indicator,metric,data_year,unit_of_measurement,indicator_result,unnamed:_8,unnamed:_9,unnamed:_10,unnamed:_11,unnamed:_12,unnamed:_13,unnamed:_14,unnamed:_15,unnamed:_16,unnamed:_17,unnamed:_18,unnamed:_19,unnamed:_20,unnamed:_21,unnamed:_22,unnamed:_23,unnamed:_24,unnamed:_25,unnamed:_26,unnamed:_27
Provincial,Newfoundland and Labrador,,Hip Fracture Repair,90th Percentile,2014.0,Hours,93.0,,,,,,,,,,,,,,,,,,,,
Provincial,Newfoundland and Labrador,,Hip Fracture Repair,Volume,2014.0,Number of cases,188.0,,,,,,,,,,,,,,,,,,,,
Provincial,Newfoundland and Labrador,,Hip Fracture Repair/Emergency and Inpatient,% Meeting Benchmark,2014.0,Proportion,84.0,,,,,,,,,,,,,,,,,,,,
Provincial,Newfoundland and Labrador,,Hip Fracture Repair/Emergency and Inpatient,50th Percentile,2014.0,Hours,27.0,,,,,,,,,,,,,,,,,,,,
Provincial,Newfoundland and Labrador,,Hip Fracture Repair/Emergency and Inpatient,90th Percentile,2014.0,Hours,52.0,,,,,,,,,,,,,,,,,,,,
Provincial,Newfoundland and Labrador,,Hip Fracture Repair/Emergency and Inpatient,Volume,2014.0,Number of cases,227.0,,,,,,,,,,,,,,,,,,,,
Provincial,Newfoundland and Labrador,,Hip Replacement,% Meeting Benchmark,2014.0,Proportion,96.0,,,,,,,,,,,,,,,,,,,,
Provincial,Newfoundland and Labrador,,Hip Replacement,50th Percentile,2014.0,Days,86.0,,,,,,,,,,,,,,,,,,,,
Provincial,Newfoundland and Labrador,,Hip Replacement,90th Percentile,2014.0,Days,161.0,,,,,,,,,,,,,,,,,,,,
Provincial,Newfoundland and Labrador,,Hip Replacement,Volume,2014.0,Number of cases,248.0,,,,,,,,,,,,,,,,,,,,
Regional,Newfoundland and Labrador,Western Health,Hip Replacement,% Meeting Benchmark,2014.0,Proportion,100.0,,,,,,,,,,,,,,,,,,,,
Regional,Newfoundland and Labrador,Western Health,Hip Replacement,50th Percentile,2014.0,Days,48.0,,,,,,,,,,,,,,,,,,,,
Regional,Newfoundland and Labrador,Western Health,Hip Replacement,90th Percentile,2014.0,Days,139.0,,,,,,,,,,,,,,,,,,,,
Regional,Newfoundland and Labrador,Western Health,Hip Replacement,Volume,2014.0,Number of cases,42.0,,,,,,,,,,,,,,,,,,,,
Regional,Newfoundland and Labrador,Labrador�Grenfell Health,Hip Replacement,% Meeting Benchmark,2014.0,Proportion,100.0,,,,,,,,,,,,,,,,,,,,
Regional,Newfoundland and Labrador,Labrador�Grenfell Health,Hip Replacement,50th Percentile,2014.0,Days,65.0,,,,,,,,,,,,,,,,,,,,
Regional,Newfoundland and Labrador,Labrador�Grenfell Health,Hip Replacement,90th Percentile,2014.0,Days,92.0,,,,,,,,,,,,,,,,,,,,
Regional,Newfoundland and Labrador,Labrador�Grenfell Health,Hip Replacement,Volume,2014.0,Number of cases,8.0,,,,,,,,,,,,,,,,,,,,
Regional,Newfoundland and Labrador,Eastern Health,Hip Replacement,% Meeting Benchmark,2014.0,Proportion,95.0,,,,,,,,,,,,,,,,,,,,
Regional,Newfoundland and Labrador,Eastern Health,Hip Replacement,50th Percentile,2014.0,Days,97.0,,,,,,,,,,,,,,,,,,,,
Regional,Newfoundland and Labrador,Eastern Health,Hip Replacement,90th Percentile,2014.0,Days,169.0,,,,,,,,,,,,,,,,,,,,
Regional,Newfoundland and Labrador,Eastern Health,Hip Replacement,Volume,2014.0,Number of cases,148.0,,,,,,,,,,,,,,,,,,,,
Regional,Newfoundland and Labrador,Central Health,Hip Replacement,% Meeting Benchmark,2014.0,Proportion,94.0,,,,,,,,,,,,,,,,,,,,
Regional,Newfoundland and Labrador,Central Health,Hip Replacement,50th Percentile,2014.0,Days,89.0,,,,,,,,,,,,,,,,,,,,
Regional,Newfoundland and Labrador,Central Health,Hip Replacement,90th Percentile,2014.0,Days,162.0,,,,,,,,,,,,,,,,,,,,
Regional,Newfoundland and Labrador,Central Health,Hip Replacement,Volume,2014.0,Number of cases,50.0,,,,,,,,,,,,,,,,,,,,
Provincial,Newfoundland and Labrador,,Knee Replacement,% Meeting Benchmark,2014.0,Proportion,92.0,,,,,,,,,,,,,,,,,,,,
Provincial,Newfoundland and Labrador,,Knee Replacement,50th Percentile,2014.0,Days,98.0,,,,,,,,,,,,,,,,,,,,
Provincial,Newfoundland and Labrador,,Knee Replacement,90th Percentile,2014.0,Days,176.0,,,,,,,,,,,,,,,,,,,,
Provincial,Newfoundland and Labrador,,Knee Replacement,Volume,2014.0,Number of cases,402.0,,,,,,,,,,,,,,,,,,,,
Regional,Newfoundland and Labrador,Western Health,Knee Replacement,% Meeting Benchmark,2014.0,Proportion,98.0,,,,,,,,,,,,,,,,,,,,
Regional,Newfoundland and Labrador,Western Health,Knee Replacement,50th Percentile,2014.0,Days,50.0,,,,,,,,,,,,,,,,,,,,
Regional,Newfoundland and Labrador,Western Health,Knee Replacement,90th Percentile,2014.0,Days,115.0,,,,,,,,,,,,,,,,,,,,
Regional,Newfoundland and Labrador,Western Health,Knee Replacement,Volume,2014.0,Number of cases,76.0,,,,,,,,,,,,,,,,,,,,
Regional,Newfoundland and Labrador,Labrador�Grenfell Health,Knee Replacement,% Meeting Benchmark,2014.0,Proportion,88.0,,,,,,,,,,,,,,,,,,,,
Regional,Newfoundland and Labrador,Labrador�Grenfell Health,Knee Replacement,50th Percentile,2014.0,Days,81.0,,,,,,,,,,,,,,,,,,,,
Regional,Newfoundland and Labrador,Labrador�Grenfell Health,Knee Replacement,90th Percentile,2014.0,Days,174.0,,,,,,,,,,,,,,,,,,,,
Regional,Newfoundland and Labrador,Labrador�Grenfell Health,Knee Replacement,Volume,2014.0,Number of cases,11.0,,,,,,,,,,,,,,,,,,,,
Regional,Newfoundland and Labrador,Eastern Health,Knee Replacement,% Meeting Benchmark,2014.0,Proportion,92.0,,,,,,,,,,,,,,,,,,,,
Regional,Newfoundland and Labrador,Eastern Health,Knee Replacement,50th Percentile,2014.0,Days,108.0,,,,,,,,,,,,,,,,,,,,
Regional,Newfoundland and Labrador,Eastern Health,Knee Replacement,90th Percentile,2014.0,Days,176.0,,,,,,,,,,,,,,,,,,,,
Regional,Newfoundland and Labrador,Eastern Health,Knee Replacement,Volume,2014.0,Number of cases,232.0,,,,,,,,,,,,,,,,,,,,
Regional,Newfoundland and Labrador,Central Health,Knee Replacement,% Meeting Benchmark,2014.0,Proportion,86.0,,,,,,,,,,,,,,,,,,,,
Regional,Newfoundland and Labrador,Central Health,Knee Replacement,50th Percentile,2014.0,Days,135.0,,,,,,,,,,,,,,,,,,,,
Regional,Newfoundland and Labrador,Central Health,Knee Replacement,90th Percentile,2014.0,Days,239.0,,,,,,,,,,,,,,,,,,,,
Regional,Newfoundland and Labrador,Central Health,Knee Replacement,Volume,2014.0,Number of cases,83.0,,,,,,,,,,,,,,,,,,,,
Provincial,Newfoundland and Labrador,,Lung Cancer Surgery,50th Percentile,2014.0,Days,,,,,,,,,,,,,,,,,,,,,
Provincial,Newfoundland and Labrador,,Lung Cancer Surgery,90th Percentile,2014.0,Days,,,,,,,,,,,,,,,,,,,,,
Provincial,Newfoundland and Labrador,,Lung Cancer Surgery,Volume,2014.0,Number of cases,,,,,,,,,,,,,,,,,,,,,
Provincial,Newfoundland and Labrador,,MRI Scan,50th Percentile,2014.0,Days,,,,,,,,,,,,,,,,,,,,,
Provincial,Newfoundland and Labrador,,MRI Scan,90th Percentile,2014.0,Days,,,,,,,,,,,,,,,,,,,,,
Provincial,Newfoundland and Labrador,,MRI Scan,Volume,2014.0,Number of cases,,,,,,,,,,,,,,,,,,,,,
Provincial,Newfoundland and Labrador,,Prostate Cancer Surgery,50th Percentile,2014.0,Days,32.0,,,,,,,,,,,,,,,,,,,,
Provincial,Newfoundland and Labrador,,Prostate Cancer Surgery,90th Percentile,2014.0,Days,64.0,,,,,,,,,,,,,,,,,,,,
Provincial,Newfoundland and Labrador,,Prostate Cancer Surgery,Volume,2014.0,Number of cases,62.0,,,,,,,,,,,,,,,,,,,,
Provincial,Newfoundland and Labrador,,Radiation Therapy,% Meeting Benchmark,2014.0,Proportion,98.0,,,,,,,,,,,,,,,,,,,,
Provincial,Newfoundland and Labrador,,Radiation Therapy,50th Percentile,2014.0,Days,14.0,,,,,,,,,,,,,,,,,,,,
Provincial,Newfoundland and Labrador,,Radiation Therapy,90th Percentile,2014.0,Days,23.0,,,,,,,,,,,,,,,,,,,,
Provincial,Newfoundland and Labrador,,Radiation Therapy,Volume,2014.0,Number of cases,368.0,,,,,,,,,,,,,,,,,,,,
Provincial,Nova Scotia,,Bladder Cancer Surgery,50th Percentile,2014.0,Days,35.0,,,,,,,,,,,,,,,,,,,,
Provincial,Nova Scotia,,Bladder Cancer Surgery,90th Percentile,2014.0,Days,91.0,,Western Zone,,,,,,,,,,,,,,,,,,
Provincial,Nova Scotia,,Bladder Cancer Surgery,Volume,2014.0,Number of cases,356.0,,Northern Zone,,,,,,,,,,,,,,,,,,
Provincial,Nova Scotia,,Breast Cancer Surgery,50th Percentile,2014.0,Days,16.0,,Eastern Zone,,,,,,,,,,,,,,,,,,
Provincial,Nova Scotia,,Breast Cancer Surgery,90th Percentile,2014.0,Days,36.0,,Central Zone (N.S.),,,,,,,,,,,,,,,,,,
Provincial,Nova Scotia,,Breast Cancer Surgery,Volume,2014.0,Number of cases,495.0,,,,,,,,,,,,,,,,,,,,
Provincial,Nova Scotia,,CABG,50th Percentile,2014.0,Days,6.0,,,,,,,,,,,,,,,,,,,,
Provincial,Nova Scotia,,CABG,90th Percentile,2014.0,Days,61.0,,,,,,,,,,,,,,,,,,,,
Provincial,Nova Scotia,,CABG,Volume,2014.0,Number of cases,155.0,,,,,,,,,,,,,,,,,,,,
Provincial,Nova Scotia,,Cataract surgery,% Meeting Benchmark,2014.0,Proportion,65.0,,,,,,,,,,,,,,,,,,,,
Provincial,Nova Scotia,,Cataract surgery,50th Percentile,2014.0,Days,85.0,,,,,,,,,,,,,,,,,,,,
Provincial,Nova Scotia,,Cataract surgery,90th Percentile,2014.0,Days,206.0,,,,,,,,,,,,,,,,,,,,
Provincial,Nova Scotia,,Cataract surgery,Volume,2014.0,Number of cases,,,,,,,,,,,,,,,,,,,,,
Provincial,Nova Scotia,,Colorectal Cancer Surgery,50th Percentile,2014.0,Days,24.0,,,,,,,,,,,,,,,,,,,,
Provincial,Nova Scotia,,Colorectal Cancer Surgery,90th Percentile,2014.0,Days,60.0,,,,,,,,,,,,,,,,,,,,
Provincial,Nova Scotia,,Colorectal Cancer Surgery,Volume,2014.0,Number of cases,282.0,,,,,,,,,,,,,,,,,,,,
Provincial,Nova Scotia,,CT Scan,50th Percentile,2014.0,Days,21.0,,,,,,,,,,,,,,,,,,,,
Provincial,Nova Scotia,,CT Scan,90th Percentile,2014.0,Days,63.0,,,,,,,,,,,,,,,,,,,,
Provincial,Nova Scotia,,CT Scan,Volume,2014.0,Number of cases,,,,,,,,,,,,,,,,,,,,,
Provincial,Nova Scotia,,Hip Fracture Repair,% Meeting Benchmark,2014.0,Proportion,76.0,,,,,,,,,,,,,,,,,,,,
Provincial,Nova Scotia,,Hip Fracture Repair,50th Percentile,2014.0,Hours,26.0,,,,,,,,,,,,,,,,,,,,
Provincial,Nova Scotia,,Hip Fracture Repair,90th Percentile,2014.0,Hours,68.0,,,,,,,,,,,,,,,,,,,,
Provincial,Nova Scotia,,Hip Fracture Repair,Volume,2014.0,Number of cases,388.0,,,,,,,,,,,,,,,,,,,,
Provincial,Nova Scotia,,Hip Fracture Repair/Emergency and Inpatient,% Meeting Benchmark,2014.0,Proportion,,,,,,,,,,,,,,,,,,,,,
Provincial,Nova Scotia,,Hip Fracture Repair/Emergency and Inpatient,50th Percentile,2014.0,Hours,,,,,,,,,,,,,,,,,,,,,
Provincial,Nova Scotia,,Hip Fracture Repair/Emergency and Inpatient,90th Percentile,2014.0,Hours,,,,,,,,,,,,,,,,,,,,,
Provincial,Nova Scotia,,Hip Fracture Repair/Emergency and Inpatient,Volume,2014.0,Number of cases,,,,,,,,,,,,,,,,,,,,,
Provincial,Nova Scotia,,Hip Replacement,% Meeting Benchmark,2014.0,Proportion,51.0,,,,,,,,,,,,,,,,,,,,
Provincial,Nova Scotia,,Hip Replacement,50th Percentile,2014.0,Days,179.0,,,,,,,,,,,,,,,,,,,,
Provincial,Nova Scotia,,Hip Replacement,90th Percentile,2014.0,Days,569.0,,,,,,,,,,,,,,,,,,,,
Provincial,Nova Scotia,,Hip Replacement,Volume,2014.0,Number of cases,532.0,,,,,,,,,,,,,,,,,,,,
Regional,Nova Scotia,Western Zone,Hip Replacement,% Meeting Benchmark,2014.0,Proportion,24.0,,,,,,,,,,,,,,,,,,,,
Regional,Nova Scotia,Western Zone,Hip Replacement,50th Percentile,2014.0,Days,257.0,,,,,,,,,,,,,,,,,,,,
Regional,Nova Scotia,Western Zone,Hip Replacement,90th Percentile,2014.0,Days,616.0,,,,,,,,,,,,,,,,,,,,
Regional,Nova Scotia,Western Zone,Hip Replacement,Volume,2014.0,Number of cases,81.0,,,,,,,,,,,,,,,,,,,,
Regional,Nova Scotia,Northern Zone,Hip Replacement,% Meeting Benchmark,2014.0,Proportion,59.0,,,,,,,,,,,,,,,,,,,,
Regional,Nova Scotia,Northern Zone,Hip Replacement,50th Percentile,2014.0,Days,137.0,,,,,,,,,,,,,,,,,,,,
Regional,Nova Scotia,Northern Zone,Hip Replacement,90th Percentile,2014.0,Days,439.0,,,,,,,,,,,,,,,,,,,,
Regional,Nova Scotia,Northern Zone,Hip Replacement,Volume,2014.0,Number of cases,76.0,,,,,,,,,,,,,,,,,,,,
Regional,Nova Scotia,Eastern Zone,Hip Replacement,% Meeting Benchmark,2014.0,Proportion,52.0,,,,,,,,,,,,,,,,,,,,
Regional,Nova Scotia,Eastern Zone,Hip Replacement,50th Percentile,2014.0,Days,176.0,,,,,,,,,,,,,,,,,,,,
Regional,Nova Scotia,Eastern Zone,Hip Replacement,90th Percentile,2014.0,Days,367.0,,,,,,,,,,,,,,,,,,,,
Regional,Nova Scotia,Eastern Zone,Hip Replacement,Volume,2014.0,Number of cases,89.0,,,,,,,,,,,,,,,,,,,,
Regional,Nova Scotia,Central Zone (N.S.),Hip Replacement,% Meeting Benchmark,2014.0,Proportion,56.0,,,,,,,,,,,,,,,,,,,,
Regional,Nova Scotia,Central Zone (N.S.),Hip Replacement,50th Percentile,2014.0,Days,164.0,,,,,,,,,,,,,,,,,,,,
Regional,Nova Scotia,Central Zone (N.S.),Hip Replacement,90th Percentile,2014.0,Days,606.0,,,,,,,,,,,,,,,,,,,,
Regional,Nova Scotia,Central Zone (N.S.),Hip Replacement,Volume,2014.0,Number of cases,286.0,,,,,,,,,,,,,,,,,,,,
Provincial,Nova Scotia,,Knee Replacement,% Meeting Benchmark,2014.0,Proportion,37.0,,,,,,,,,,,,,,,,,,,,
Provincial,Nova Scotia,,Knee Replacement,50th Percentile,2014.0,Days,251.0,,,,,,,,,,,,,,,,,,,,
Provincial,Nova Scotia,,Knee Replacement,90th Percentile,2014.0,Days,734.0,,,,,,,,,,,,,,,,,,,,
Provincial,Nova Scotia,,Knee Replacement,Volume,2014.0,Number of cases,922.0,,,,,,,,,,,,,,,,,,,,
Regional,Nova Scotia,Western Zone,Knee Replacement,% Meeting Benchmark,2014.0,Proportion,18.0,,,,,,,,,,,,,,,,,,,,
Regional,Nova Scotia,Western Zone,Knee Replacement,50th Percentile,2014.0,Days,450.0,,,,,,,,,,,,,,,,,,,,
Regional,Nova Scotia,Western Zone,Knee Replacement,90th Percentile,2014.0,Days,780.0,,,,,,,,,,,,,,,,,,,,
Regional,Nova Scotia,Western Zone,Knee Replacement,Volume,2014.0,Number of cases,223.0,,,,,,,,,,,,,,,,,,,,
Regional,Nova Scotia,Northern Zone,Knee Replacement,% Meeting Benchmark,2014.0,Proportion,61.0,,,,,,,,,,,,,,,,,,,,
Regional,Nova Scotia,Northern Zone,Knee Replacement,50th Percentile,2014.0,Days,155.0,,,,,,,,,,,,,,,,,,,,
Regional,Nova Scotia,Northern Zone,Knee Replacement,90th Percentile,2014.0,Days,426.0,,,,,,,,,,,,,,,,,,,,
Regional,Nova Scotia,Northern Zone,Knee Replacement,Volume,2014.0,Number of cases,111.0,,,,,,,,,,,,,,,,,,,,
Regional,Nova Scotia,Eastern Zone,Knee Replacement,% Meeting Benchmark,2014.0,Proportion,55.0,,,,,,,,,,,,,,,,,,,,
Regional,Nova Scotia,Eastern Zone,Knee Replacement,50th Percentile,2014.0,Days,167.0,,,,,,,,,,,,,,,,,,,,
Regional,Nova Scotia,Eastern Zone,Knee Replacement,90th Percentile,2014.0,Days,414.0,,,,,,,,,,,,,,,,,,,,
Regional,Nova Scotia,Eastern Zone,Knee Replacement,Volume,2014.0,Number of cases,169.0,,,,,,,,,,,,,,,,,,,,
Regional,Nova Scotia,Central Zone (N.S.),Knee Replacement,% Meeting Benchmark,2014.0,Proportion,34.0,,,,,,,,,,,,,,,,,,,,
Regional,Nova Scotia,Central Zone (N.S.),Knee Replacement,50th Percentile,2014.0,Days,302.0,,,,,,,,,,,,,,,,,,,,
Regional,Nova Scotia,Central Zone (N.S.),Knee Replacement,90th Percentile,2014.0,Days,764.0,,,,,,,,,,,,,,,,,,,,
Regional,Nova Scotia,Central Zone (N.S.),Knee Replacement,Volume,2014.0,Number of cases,419.0,,,,,,,,,,,,,,,,,,,,
Provincial,Nova Scotia,,Lung Cancer Surgery,50th Percentile,2014.0,Days,34.0,,,,,,,,,,,,,,,,,,,,
Provincial,Nova Scotia,,Lung Cancer Surgery,90th Percentile,2014.0,Days,63.0,,,,,,,,,,,,,,,,,,,,
Provincial,Nova Scotia,,Lung Cancer Surgery,Volume,2014.0,Number of cases,119.0,,,,,,,,,,,,,,,,,,,,
Provincial,Nova Scotia,,MRI Scan,50th Percentile,2014.0,Days,58.0,,,,,,,,,,,,,,,,,,,,
Provincial,Nova Scotia,,MRI Scan,90th Percentile,2014.0,Days,169.0,,,,,,,,,,,,,,,,,,,,
Provincial,Nova Scotia,,MRI Scan,Volume,2014.0,Number of cases,,,,,,,,,,,,,,,,,,,,,
Provincial,Nova Scotia,,Prostate Cancer Surgery,50th Percentile,2014.0,Days,48.0,,,,,,,,,,,,,,,,,,,,
Provincial,Nova Scotia,,Prostate Cancer Surgery,90th Percentile,2014.0,Days,104.0,,,,,,,,,,,,,,,,,,,,
Provincial,Nova Scotia,,Prostate Cancer Surgery,Volume,2014.0,Number of cases,74.0,,,,,,,,,,,,,,,,,,,,
Provincial,Nova Scotia,,Radiation Therapy,% Meeting Benchmark,2014.0,Proportion,88.0,,,,,,,,,,,,,,,,,,,,
Provincial,Nova Scotia,,Radiation Therapy,50th Percentile,2014.0,Days,14.0,,,,,,,,,,,,,,,,,,,,
Provincial,Nova Scotia,,Radiation Therapy,90th Percentile,2014.0,Days,31.0,,,,,,,,,,,,,,,,,,,,
Provincial,Nova Scotia,,Radiation Therapy,Volume,2014.0,Number of cases,,,,,,,,,,,,,,,,,,,,,
Provincial,Ontario,,Bladder Cancer Surgery,50th Percentile,2014.0,Days,22.0,,,,,,,,,,,,,,,,,,,,
Provincial,Ontario,,Bladder Cancer Surgery,90th Percentile,2014.0,Days,57.0,,,,,,,,,,,,,,,,,,,,
Provincial,Ontario,,Bladder Cancer Surgery,Volume,2014.0,Number of cases,,,,,,,,,,,,,,,,,,,,,
Provincial,Ontario,,Breast Cancer Surgery,50th Percentile,2014.0,Days,16.0,,,,,,,,,,,,,,,,,,,,
Provincial,Ontario,,Breast Cancer Surgery,90th Percentile,2014.0,Days,33.0,,,,,,,,,,,,,,,,,,,,
Provincial,Ontario,,Breast Cancer Surgery,Volume,2014.0,Number of cases,,,,,,,,,,,,,,,,,,,,,
Provincial,Ontario,,CABG,50th Percentile,2014.0,Days,7.0,,,,,,,,,,,,,,,,,,,,
Provincial,Ontario,,CABG,90th Percentile,2014.0,Days,48.0,,,,,,,,,,,,,,,,,,,,
Provincial,Ontario,,CABG,Volume,2014.0,Number of cases,,,,,,,,,,,,,,,,,,,,,
Provincial,Ontario,,Cataract surgery,% Meeting Benchmark,2014.0,Proportion,81.0,,,,,,,,,,,,,,,,,,,,
Provincial,Ontario,,Cataract surgery,50th Percentile,2014.0,Days,50.0,,,,,,,,,,,,,,,,,,,,
Provincial,Ontario,,Cataract surgery,90th Percentile,2014.0,Days,157.0,,,,,,,,,,,,,,,,,,,,
Provincial,Ontario,,Cataract surgery,Volume,2014.0,Number of cases,,,,,,,,,,,,,,,,,,,,,
Provincial,Ontario,,Colorectal Cancer Surgery,50th Percentile,2014.0,Days,18.0,,,,,,,,,,,,,,,,,,,,
Provincial,Ontario,,Colorectal Cancer Surgery,90th Percentile,2014.0,Days,39.0,,,,,,,,,,,,,,,,,,,,
Provincial,Ontario,,Colorectal Cancer Surgery,Volume,2014.0,Number of cases,,,,,,,,,,,,,,,,,,,,,
Provincial,Ontario,,CT Scan,50th Percentile,2014.0,Days,7.0,,,,,,,,,,,,,,,,,,,,
Provincial,Ontario,,CT Scan,90th Percentile,2014.0,Days,30.0,,,,,,,,,,,,,,,,,,,,
Provincial,Ontario,,CT Scan,Volume,2014.0,Number of cases,,,,,,,,,,,,,,,,,,,,,
Provincial,Ontario,,Hip Fracture Repair,% Meeting Benchmark,2014.0,Proportion,84.0,,,,,,,,,,,,,,,,,,,,
Provincial,Ontario,,Hip Fracture Repair,50th Percentile,2014.0,Hours,24.0,,,,,,,,,,,,,,,,,,,,
Provincial,Ontario,,Hip Fracture Repair,90th Percentile,2014.0,Hours,61.0,,,,,,,,,,,,,,,,,,,,
Provincial,Ontario,,Hip Fracture Repair,Volume,2014.0,Number of cases,,,,,,,,,,,,,,,,,,,,,
Provincial,Ontario,,Hip Fracture Repair/Emergency and Inpatient,% Meeting Benchmark,2014.0,Proportion,77.0,,,,,,,,,,,,,,,,,,,,
Provincial,Ontario,,Hip Fracture Repair/Emergency and Inpatient,50th Percentile,2014.0,Hours,29.0,,,,,,,,,,,,,,,,,,,,
Provincial,Ontario,,Hip Fracture Repair/Emergency and Inpatient,90th Percentile,2014.0,Hours,66.0,,,,,,,,,,,,,,,,,,,,
Provincial,Ontario,,Hip Fracture Repair/Emergency and Inpatient,Volume,2014.0,Number of cases,,,,,,,,,,,,,,,,,,,,,
Provincial,Ontario,,Hip Replacement,% Meeting Benchmark,2014.0,Proportion,88.0,,,,,,,,,,,,,,,,,,,,
Provincial,Ontario,,Hip Replacement,50th Percentile,2014.0,Days,71.0,,,,,,,,,,,,,,,,,,,,
Provincial,Ontario,,Hip Replacement,90th Percentile,2014.0,Days,202.0,,,,,,,,,,,,,,,,,,,,
Provincial,Ontario,,Hip Replacement,Volume,2014.0,Number of cases,,,,,,,,,,,,,,,,,,,,,
Regional,Ontario,Erie St. Clair LHIN (Former),Hip Replacement,% Meeting Benchmark,2014.0,Proportion,85.0,,,,,,,,,,,,,,,,,,,,
Regional,Ontario,Erie St. Clair LHIN (Former),Hip Replacement,50th Percentile,2014.0,Days,73.0,,,,,,,,,,,,,,,,,,,,
Regional,Ontario,Erie St. Clair LHIN (Former),Hip Replacement,90th Percentile,2014.0,Days,223.0,,,,,,,,,,,,,,,,,,,,
Regional,Ontario,Erie St. Clair LHIN (Former),Hip Replacement,Volume,2014.0,Number of cases,408.0,,,,,,,,,,,,,,,,,,,,
Regional,Ontario,South West LHIN (Former),Hip Replacement,% Meeting Benchmark,2014.0,Proportion,78.0,,,,,,,,,,,,,,,,,,,,
Regional,Ontario,South West LHIN (Former),Hip Replacement,50th Percentile,2014.0,Days,90.0,,,,,,,,,,,,,,,,,,,,
Regional,Ontario,South West LHIN (Former),Hip Replacement,90th Percentile,2014.0,Days,232.0,,,,,,,,,,,,,,,,,,,,
Regional,Ontario,South West LHIN (Former),Hip Replacement,Volume,2014.0,Number of cases,718.0,,,,,,,,,,,,,,,,,,,,
Regional,Ontario,Waterloo Wellington LHIN (Former),Hip Replacement,% Meeting Benchmark,2014.0,Proportion,94.0,,,,,,,,,,,,,,,,,,,,
Regional,Ontario,Waterloo Wellington LHIN (Former),Hip Replacement,50th Percentile,2014.0,Days,75.0,,,,,,,,,,,,,,,,,,,,
Regional,Ontario,Waterloo Wellington LHIN (Former),Hip Replacement,90th Percentile,2014.0,Days,150.0,,,,,,,,,,,,,,,,,,,,
Regional,Ontario,Waterloo Wellington LHIN (Former),Hip Replacement,Volume,2014.0,Number of cases,388.0,,,,,,,,,,,,,,,,,,,,
Regional,Ontario,Hamilton Niagara Haldimand Brant LHIN (Former),Hip Replacement,% Meeting Benchmark,2014.0,Proportion,85.0,,,,,,,,,,,,,,,,,,,,
Regional,Ontario,Hamilton Niagara Haldimand Brant LHIN (Former),Hip Replacement,50th Percentile,2014.0,Days,67.0,,,,,,,,,,,,,,,,,,,,
Regional,Ontario,Hamilton Niagara Haldimand Brant LHIN (Former),Hip Replacement,90th Percentile,2014.0,Days,218.0,,,,,,,,,,,,,,,,,,,,
Regional,Ontario,Hamilton Niagara Haldimand Brant LHIN (Former),Hip Replacement,Volume,2014.0,Number of cases,861.0,,,,,,,,,,,,,,,,,,,,
Regional,Ontario,Central West LHIN (Former),Hip Replacement,% Meeting Benchmark,2014.0,Proportion,54.0,,,,,,,,,,,,,,,,,,,,
Regional,Ontario,Central West LHIN (Former),Hip Replacement,50th Percentile,2014.0,Days,157.0,,,,,,,,,,,,,,,,,,,,
Regional,Ontario,Central West LHIN (Former),Hip Replacement,90th Percentile,2014.0,Days,295.0,,,,,,,,,,,,,,,,,,,,
Regional,Ontario,Central West LHIN (Former),Hip Replacement,Volume,2014.0,Number of cases,123.0,,,,,,,,,,,,,,,,,,,,
Regional,Ontario,Mississauga Halton LHIN (Former),Hip Replacement,% Meeting Benchmark,2014.0,Proportion,98.0,,,,,,,,,,,,,,,,,,,,
Regional,Ontario,Mississauga Halton LHIN (Former),Hip Replacement,50th Percentile,2014.0,Days,62.0,,,,,,,,,,,,,,,,,,,,
Regional,Ontario,Mississauga Halton LHIN (Former),Hip Replacement,90th Percentile,2014.0,Days,124.0,,,,,,,,,,,,,,,,,,,,
Regional,Ontario,Mississauga Halton LHIN (Former),Hip Replacement,Volume,2014.0,Number of cases,383.0,,,,,,,,,,,,,,,,,,,,
Regional,Ontario,Toronto Central LHIN (Former),Hip Replacement,% Meeting Benchmark,2014.0,Proportion,91.0,,,,,,,,,,,,,,,,,,,,
Regional,Ontario,Toronto Central LHIN (Former),Hip Replacement,50th Percentile,2014.0,Days,61.0,,,,,,,,,,,,,,,,,,,,
Regional,Ontario,Toronto Central LHIN (Former),Hip Replacement,90th Percentile,2014.0,Days,170.0,,,,,,,,,,,,,,,,,,,,
Regional,Ontario,Toronto Central LHIN (Former),Hip Replacement,Volume,2014.0,Number of cases,,,,,,,,,,,,,,,,,,,,,
Regional,Ontario,Central LHIN (Former),Hip Replacement,% Meeting Benchmark,2014.0,Proportion,96.0,,,,,,,,,,,,,,,,,,,,
Regional,Ontario,Central LHIN (Former),Hip Replacement,50th Percentile,2014.0,Days,59.0,,,,,,,,,,,,,,,,,,,,
Regional,Ontario,Central LHIN (Former),Hip Replacement,90th Percentile,2014.0,Days,146.0,,,,,,,,,,,,,,,,,,,,
Regional,Ontario,Central LHIN (Former),Hip Replacement,Volume,2014.0,Number of cases,641.0,,,,,,,,,,,,,,,,,,,,
Regional,Ontario,Central East LHIN (Former),Hip Replacement,% Meeting Benchmark,2014.0,Proportion,98.0,,,,,,,,,,,,,,,,,,,,
Regional,Ontario,Central East LHIN (Former),Hip Replacement,50th Percentile,2014.0,Days,52.0,,,,,,,,,,,,,,,,,,,,
